Date,Kwh,year,month,day,city
2008-01-27,0.0,2008,01,27,NEA MESIMVRIA
2008-01-28,52029127.7797146,2008,01,28,AGIA TRIADA
2008-01-28,105562900.202377,2008,01,28,SIDIROKASTRO
2008-01-28,449.227515045594,2008,01,28,KIPI
2008-01-28,0.0,2008,01,28,NEA MESIMVRIA
2008-01-29,61227849.698532,2008,01,29,AGIA TRIADA
2008-01-29,105592099.863065,2008,01,29,SIDIROKASTRO
2008-01-29,0.0,2008,01,29,KIPI
2008-01-29,0.0,2008,01,29,NEA MESIMVRIA
2008-01-30,58044019.738217,2008,01,30,AGIA TRIADA
2008-01-30,105520457.283547,2008,01,30,SIDIROKASTRO
2008-01-30,0.0,2008,01,30,KIPI
2008-01-30,0.0,2008,01,30,NEA MESIMVRIA
2008-01-31,51094002.155694,2008,01,31,AGIA TRIADA
2008-01-31,105545831.855402,2008,01,31,SIDIROKASTRO
2008-01-31,0.0,2008,01,31,KIPI
2008-01-31,0.0,2008,01,31,NEA MESIMVRIA
2008-02-01,47498483.4066862,2008,02,01,AGIA TRIADA
2008-02-01,102324028.34635,2008,02,01,SIDIROKASTRO
2008-02-01,0.0,2008,02,01,KIPI
2008-02-01,0.0,2008,02,01,NEA MESIMVRIA
2008-02-02,19280056.6515899,2008,02,02,AGIA TRIADA
2008-02-02,96251090.7378023,2008,02,02,SIDIROKASTRO
2008-02-02,0.0,2008,02,02,KIPI
2008-02-02,0.0,2008,02,02,NEA MESIMVRIA
2008-02-03,18124802.7467029,2008,02,03,AGIA TRIADA
2008-02-03,104100193.446773,2008,02,03,SIDIROKASTRO
2008-02-03,0.0,2008,02,03,KIPI
2008-02-03,0.0,2008,02,03,NEA MESIMVRIA
2008-02-04,43197206.5012868,2008,02,04,AGIA TRIADA
2008-02-04,105421034.600701,2008,02,04,SIDIROKASTRO
2008-02-04,0.0,2008,02,04,KIPI
2008-02-04,0.0,2008,02,04,NEA MESIMVRIA
2008-02-05,45716542.5939425,2008,02,05,AGIA TRIADA
2008-02-05,105133098.537163,2008,02,05,SIDIROKASTRO
2008-02-05,0.0,2008,02,05,KIPI
2008-02-05,0.0,2008,02,05,NEA MESIMVRIA
2008-02-06,39971612.8711712,2008,02,06,AGIA TRIADA
2008-02-06,110010783.417289,2008,02,06,SIDIROKASTRO
2008-02-06,0.0,2008,02,06,KIPI
2008-02-06,0.0,2008,02,06,NEA MESIMVRIA
2008-02-07,46773274.382756,2008,02,07,AGIA TRIADA
2008-02-07,110599672.220918,2008,02,07,SIDIROKASTRO
2008-02-07,2593592.81462752,2008,02,07,KIPI
2008-02-07,0.0,2008,02,07,NEA MESIMVRIA
2008-02-08,28407498.4543374,2008,02,08,AGIA TRIADA
2008-02-08,108128189.742488,2008,02,08,SIDIROKASTRO
2008-02-08,3163497.78339837,2008,02,08,KIPI
2008-02-08,0.0,2008,02,08,NEA MESIMVRIA
2008-02-09,22978570.7783508,2008,02,09,AGIA TRIADA
2008-02-09,109964716.502822,2008,02,09,SIDIROKASTRO
2008-02-09,3701498.83773004,2008,02,09,KIPI
2008-02-09,0.0,2008,02,09,NEA MESIMVRIA
2008-02-10,12654102.1358862,2008,02,10,AGIA TRIADA
2008-02-10,108710875.549587,2008,02,10,SIDIROKASTRO
2008-02-10,3732496.59666124,2008,02,10,KIPI
2008-02-10,0.0,2008,02,10,NEA MESIMVRIA
2008-02-11,27818840.7814814,2008,02,11,AGIA TRIADA
2008-02-11,115052276.219687,2008,02,11,SIDIROKASTRO
2008-02-11,3703990.64965492,2008,02,11,KIPI
2008-02-11,0.0,2008,02,11,NEA MESIMVRIA
2008-02-12,30350566.4507379,2008,02,12,AGIA TRIADA
2008-02-12,113977421.708984,2008,02,12,SIDIROKASTRO
2008-02-12,3723216.84617764,2008,02,12,KIPI
2008-02-12,0.0,2008,02,12,NEA MESIMVRIA
2008-02-13,28068160.5104146,2008,02,13,AGIA TRIADA
2008-02-13,119361189.586807,2008,02,13,SIDIROKASTRO
2008-02-13,3701142.89805473,2008,02,13,KIPI
2008-02-13,0.0,2008,02,13,NEA MESIMVRIA
2008-02-14,36409569.4086984,2008,02,14,AGIA TRIADA
2008-02-14,125161127.12601,2008,02,14,SIDIROKASTRO
2008-02-14,3698655.7734365,2008,02,14,KIPI
2008-02-14,0.0,2008,02,14,NEA MESIMVRIA
2008-02-15,34254439.5595503,2008,02,15,AGIA TRIADA
2008-02-15,122206537.666549,2008,02,15,SIDIROKASTRO
2008-02-15,2112731.45017265,2008,02,15,KIPI
2008-02-15,0.0,2008,02,15,NEA MESIMVRIA
2008-02-16,32526575.3088542,2008,02,16,AGIA TRIADA
2008-02-16,120212032.713074,2008,02,16,SIDIROKASTRO
2008-02-16,2659310.69323215,2008,02,16,KIPI
2008-02-16,0.0,2008,02,16,NEA MESIMVRIA
2008-02-17,31375143.6278798,2008,02,17,AGIA TRIADA
2008-02-17,120923505.71343,2008,02,17,SIDIROKASTRO
2008-02-17,2665861.17541991,2008,02,17,KIPI
