,Date,Timeseries ID,ID,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0,2014-09-01,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2014-09-02,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-09-03,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2014-09-04,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2014-09-05,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2014-09-06,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2014-09-07,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2014-09-08,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2014-09-09,0,AGIA TRIADA,1028.3310555352616,1028.1866612843005,1027.0436319671962,1025.8302081759991,1025.1200468284558,1030.6728607030432,1033.0820922376267,1032.8797852292669,1032.2699850179774,0.0,0.0,0.0,0.0,65.5486835561364,988.1380760158,1020.9745298150476,1025.0566182833852,983.3152929031688,948.2524661878464,1000.9354066476694,1026.709674312857,1016.8608291172088,1014.575810993243,1014.5744542407068
9,2014-09-10,0,AGIA TRIADA,1048.0655499026782,1044.5251851606083,1042.6733019364376,1043.4910390950836,1042.314440575715,1044.587235191619,1045.3752251636836,1045.5164058017326,1043.433885875826,1024.2054557395502,1040.9585748950328,1045.14285826548,1057.1287004192468,1049.0958272771552,1049.6985730690012,1055.0949734200462,1053.0276133783311,1053.361077771449,1052.6432813807394,1052.416889201657,1052.4060100624529,1052.8396626216888,1049.9702136888543,1048.2327185762977
10,2014-09-11,0,AGIA TRIADA,0.0,0.0,0.0,0.0,0.0,0.013987436650767,0.0,0.0,0.0,1007.9002745968252,148.7977048163562,0.0,0.0,0.3458196861364616,0.0,0.0,0.0,0.0,0.0,0.0044166138910457,0.0131594235350315,0.1403292491654612,0.0,0.0
11,2014-09-12,0,AGIA TRIADA,692.2265513297173,689.2021783717624,685.6633983801934,686.5287355338127,685.6851183620696,683.8637081920227,683.2264103492649,683.0386038667253,476.2385682961349,0.0,296.05878990262414,734.3336846873517,710.6877965747925,701.4562448790061,698.0294538612898,699.7242470386616,701.5497601086032,702.5961541331444,696.3250546495586,692.8397640662057,692.0630197867137,692.3135429417728,691.7819244290015,691.9022718233516
12,2014-09-13,0,AGIA TRIADA,683.9512471614962,682.2547559319011,679.9130075761122,679.5316238520045,678.2435270975664,677.4824400386461,674.5737683866363,675.9084990626413,673.8885225813084,1.0772936022010426,0.0,0.0421929680493538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293147392695845,489.9459443543661,716.0465735791025,691.4653202339973,685.3900897576526
13,2014-09-14,0,AGIA TRIADA,531.687985175461,532.9110323563316,534.2326637108041,532.7681425685018,533.2346261754595,530.9815228827852,530.9676076271306,533.319547542325,533.8288392378171,536.8804295670473,526.1347218644563,534.2540042488023,535.6244106063131,537.0751219812769,538.2765297811139,537.5506625630426,535.3411498948852,76.54773041892005,0.0,335.6317742148978,535.2434727122096,536.2317463308152,534.222641617659,534.2839590136081
14,2014-09-15,0,AGIA TRIADA,711.5693848235646,707.7991246221652,707.6986904846101,705.2278130042762,705.5987957978006,706.0683748175535,705.6956911124563,707.2588413869433,703.9876313796934,537.1716872490744,538.506297794316,536.1836610286507,535.2946886768548,534.6423011826768,534.972895415871,534.3982360178155,530.7331496567747,532.5076666712409,533.7424782060698,533.5384055201138,532.9640059244264,566.6526628978669,756.7414270204343,726.8282977707034
15,2014-09-16,0,AGIA TRIADA,523.7899982500729,520.8334040122194,519.8626299551602,519.7482299051761,520.0296285941647,519.2178053993235,519.4717072244149,520.0312563286566,522.8481507755921,707.1577267242136,714.4179057235073,712.7021125373236,614.9089806272871,557.3727330246013,559.2025888926869,544.1800791260772,531.3272620208126,533.6219465418803,539.5759921010783,536.8753465958238,533.5543966664155,532.2053700926463,530.6046587501648,531.2975753141606
